delta_early,G,density
-373,0.49347750463821893,0.2178231117512362
-2,0.05169753086419754,0.5455411131487666
-340,0.40856481481481477,0.1639463390675573
-163,0.30602134146341464,0.4674060958676512
-197,0.3960755813953488,0.4416246992786173
-379,0.4281131178707225,0.24615736893579035
-249,0.278612012987013,0.08924318635812889
-386,0.4347287735849057,0.24908259241649877
-371,0.47940751445086704,0.31869456603828367
-244,0.16827656329435692,0.07337436651470994
-252,0.44799440298507465,0.1404270186544226
-366,0.37670291586998084,0.32148518842521534
-340,0.5201149425287356,0.24923217872074555
-254,0.4336482558139535,0.4079662987459072
-206,0.10124468731026115,0.06759786293369581
-115,0.30634652509652505,0.5135798179375938
-279,0.3766071428571428,0.10317713515958854
-314,0.29535536159600995,0.12907219494859035
-360,0.44077034883720934,0.22022428273477535
-23,0.13689072327044027,0.5615393244188305
41,-0.08639705882352944,0.5789996103873789
-305,0.4002274258760108,0.11569156695300392
-161,0.38422619047619044,0.490448792416512
-134,0.027680311890838194,0.036093939931333335
-285,0.41853632478632474,0.19853173811205077
-237,0.4348214285714286,0.4152245195120647
-337,0.48018292682926833,0.3497519360943796
-174,0.12970635921455598,0.04578227390579235
-72,0.3033088235294118,0.4987649349844752
-210,0.41691468253968256,0.09671637007754
-108,0.38110942906574397,0.4906604631411967
-311,0.49622140522875813,0.18100791987722054
-351,0.4811210131332082,0.27093280384062796
-341,0.5264932562620424,0.2037085396494064
52,-0.02044172932330829,0.5690926637387833
-293,0.42131066591422117,0.4014637274003424
-285,0.44024916481069043,0.3942629099927548
-327,0.40608825051759834,0.3671560836559845
-391,0.5348557692307693,0.24403376956393208
-87,0.20073689956331875,0.5325022671973664
7,0.16497946009389675,0.5305638396496538
-258,0.42806208053691275,0.3957683034048534
-215,0.12755102040816324,0.07559960072254682
-201,0.17649141440963,0.08264342163288937
-359,0.5515414258188824,0.2849044747858632
-247,0.22779605263157898,0.08531556636560161
-134,0.3483333333333334,0.4803511111258976
-126,0.0,0.030992769684207583
-215,0.33450255102040816,0.4584595823600161
-372,0.4303322936660269,0.1978095293203328
-273,0.2612823569482289,0.12563330712381265
-265,0.26160990712074306,0.09950721252097454
-122,0.23113425925925923,0.4906721196522083
-338,0.4762149419729207,0.3028747065074042
-404,0.4536020992366412,0.2126231431836241
-261,0.38468198992443325,0.1285735049350023
-280,0.4017045454545455,0.13355392789531997
8,-0.061935240963855415,0.5491818613353427
-69,0.29080578512396693,0.5190386441229298
-133,0.2721920289855072,0.49596721282449896
